comparison,design,n,delta,ci95_low,ci95_high,ci90_low,ci90_high,delta_threshold,verdict
shang_vs_baseline,paired,16,-0.125,-0.625,0.375,-0.5,0.25,0.25,indistinguishable
qin_vs_baseline,paired,16,0.0,-0.5,0.5,-0.375,0.375,0.25,indistinguishable
tang_vs_baseline,paired,16,0.0,-0.5,0.5,-0.375,0.375,0.25,indistinguishable
ming_vs_baseline,paired,16,0.25,-0.25,0.75,-0.125,0.625,0.25,indistinguishable
all_courts_vs_baseline,paired,64,0.0312,-0.2188,0.2812,-0.1562,0.25,0.25,indistinguishable
fe_vs_baseline,paired,16,0.375,-0.125,0.75,0.0,0.75,0.25,indistinguishable
fe_vs_all_mirror_courts,paired,16,0.25,-0.125,0.625,-0.0625,0.5625,0.25,indistinguishable
fe_vs_shang,paired,4,0.0,-0.75,0.75,-0.5,0.5,0.25,indistinguishable
fe_vs_qin,paired,4,0.25,-0.5,1.0,-0.5,1.0,0.25,indistinguishable
fe_vs_tang,paired,4,0.75,0.25,1.0,0.5,1.0,0.25,stronger
fe_vs_ming,paired,4,0.0,-0.75,0.75,-0.5,0.5,0.25,indistinguishable
melee_shang_vs_qin,paired,16,0.125,-0.375,0.625,-0.25,0.5,0.25,indistinguishable
melee_shang_vs_tang,paired,16,0.0,-0.5,0.5,-0.375,0.375,0.25,indistinguishable
melee_shang_vs_ming,paired,16,0.25,-0.25,0.75,-0.125,0.625,0.25,indistinguishable
melee_qin_vs_tang,paired,16,0.25,-0.25,0.75,-0.125,0.625,0.25,indistinguishable
melee_qin_vs_ming,paired,16,0.25,-0.25,0.75,-0.125,0.625,0.25,indistinguishable
melee_tang_vs_ming,paired,16,0.125,-0.375,0.625,-0.25,0.5,0.25,indistinguishable
cvb_shang_vs_qin,independent,16v16,-0.0078,-0.3984,0.375,-0.332,0.3164,0.25,indistinguishable
cvb_shang_vs_tang,independent,16v16,-0.0625,-0.4453,0.3359,-0.3828,0.2695,0.25,indistinguishable
cvb_shang_vs_ming,independent,16v16,-0.2109,-0.5781,0.1875,-0.5234,0.125,0.25,indistinguishable
cvb_qin_vs_tang,independent,16v16,-0.0625,-0.4453,0.3359,-0.3867,0.2734,0.25,indistinguishable
cvb_qin_vs_ming,independent,16v16,-0.2031,-0.5664,0.1875,-0.5156,0.125,0.25,indistinguishable
cvb_tang_vs_ming,independent,16v16,-0.125,-0.5078,0.2656,-0.4453,0.2031,0.25,indistinguishable
